GRAMD4	C1orf109
GRB7	ARID1A
HARS2	MREG
HEATR2	OLFML1
IER3	CORIN
IGFBP1	CAMK4
IGFLR1	LRIG2
IMPG2	AU159040
IRF4	GLE1
ITM2C	AV742010
JRKL	217375_at
KEL	214160_at
KIR2DS1	CSNK2B
KRT84	AGRN
LAMA3	NFU1
LAMTOR2	MFAP3
LEPREL2	PGP
LEPREL4	CPSF6
LIMD2	CRYBB2P1
LINC00623	CEPT1
LIPF	AW979018
LOC100293559	GPR107
LOC650293	DCTPP1
LSM4	CAPN1
M14087	PPP1R17
MED28	C1orf54
MGST3	KDM1A
MILR1	TMEM47
MPC2	MUS81
MRAS	BCL9
MRPL19	GNPAT
MRPS12	CCL22
MSH2	CCT7
MSRB2	KLK7
MXRA7	THAP9-AS1
NCLN	NAV3
NDUFA7	LSM2
NLK	PTRH2
NOP14-AS1	AREG
NUP205	AK000864
OAZ2	RARRES2
OR7E35P	WBP5
OSGIN1	AL117546
OTC	TSKU
PCDHGA3	AU145680
PCP4	PSG2
PEMT	RSPH14
PEX11A	RYK
PIGV	RAB23
PLA2G16	CTNNBL1
PLAC4	GDAP1L1
PLCB2	PPP4R2
PLCH1	217306_at
POGZ	GABARAPL3
POLI	SOCS2
POLR3B	C9orf156
PPBP	F13A1	PF4	CLU
PROM1	GMEB2
PSMD7	FHL5
PTH2R	NLGN4Y
QTRT1	PIK3R3
R3HDM1	KDM4C
RAB4B	ABCC2
RAPGEF4	WBSCR22
RASAL1	NM_015854
RBM28	PF4V1
RRN3P1	PARK2
SCAMP4	CD19
SERPINA7	KCNA2
SERTAD2	220719_at
SH3BP4	TST
SLC25A38	FAM134A
SLC5A12	NEFH
SLC6A4	HSD17B6
SLC7A6	CCR7
SMARCB1	PTPRU
SMC5	AU147851
SMG8	ITGA6
SNX7	CLDN14
SORD	IL12RB2
SREK1IP1	MYH6
ST20	CEACAM8
STAG3L1	LSM2
STAM2	HDAC4
STRADA	PSMD13
SWAP70	KIAA0226
TACR1	KCNF1
TAF9	DUSP12
TECPR2	CHST11
TIGD6	ETNK1
TIMM13	ATP5H
TMEM156	RNASE4
TMEM50A	AW574933
TNFAIP3	VGLL3
TOP3A	AGPS
TPM4	UPF3A
TREM1	ACSM1
TRIM62	OR7E156P
TROAP	220905_at
TUBB4A	CACNA2D1
TUBB4B	NELFE
TXNL4B	DAD1
ULK2	B4GALT6
VASP	GNAI2
VCL	ARRB1
VIPAS39	SERPIND1
VNN1	PBLD	IRAK3
VSTM4	AGR2
VTN	CBLN1
VWA9	ZNF695
WWP2	C4orf19
ZC3H13	CHN1
ZC3HAV1	RBM15B
ZCCHC24	KIAA1107
ZCCHC8	TPD52
ZNF221	EMP1
ZNF330	ZNF638
ZNF500	CDKL3
ZNF816	ZNF24
PPIL3	STX12	CDS2
TUBA1C	STK25
TNFRSF10C	SLC7A11
ADAR	HSPA1B
MGAM	PGM1
AKAP11	TMEM41B	RAB6A
GCH1	GOLPH3	HIGD1A	CSDE1	YME1L1	IP6K2
ITM2B	BTN2A1	CDS2
CASP4	CXCL1
TIA1	UBE4A	GMCL1
C7orf26	EXOSC7
ATP5F1	PPP2CB	LEMD3
KRAS	ZNF141
ZFR	ITFG1	TMF1
FOXO1	PJA1
HNRNPU	CELF2	RBM7	SETD5	ALAS1	DDX24
CBFB	CDC40	FBXO38	HIPK1
ATP6V0B	CRELD2
CTSW	C11orf21
SPARC	RSU1
TGFA	GCLM
USP7	CHCHD7
RBM25	GOLPH3	HIGD1A	CSDE1	YME1L1	IP6K2
IGKC	LTB
CDC42EP3	IQGAP1	PPP4C	TLR2	LOC100093631
GIGYF2	ZNF415
DAP3	USP7
DUSP1	ST3GAL2	KCNJ15
STAT6	ZBTB48
FOXO3B	222288_at
FLOT2	LILRA1
PHB2	VPS39
ARHGAP25	CYP27A1
IL1RN	MX2	SP110
RAB22A	AKT1	SIRPB1
DIMT1	H2AFV	MS4A1	MAP3K7	CCNT2	FAM60A
PIAS1	PELI2
CD97	NDE1
KIAA0226L	SMA5
RPS11	MTF1
ZNF706	MICB
NARF	HMGXB4
CFAP70	PCGF1
KPNA6	TRAPPC3
RAB31	DNAJB6
ZNF148	PLGLB1	IFNAR2
GYPB	SMG8
S100A4	DNAJB12
RBM23	KIAA1324
RAB7A	PISD	LST1
ALOX5AP	FSCN1
ELF4	NELFE
FAM53C	ADIPOR2
TM9SF2	CDC42EP3	NUP50
CCNG2	DYRK1A	OSTM1
PAFAH1B1	TERF2
RPL7A	SRSF6
LYN	RTN4	KDM4B	HLA-E	CFLAR	FBXW12	FYB
ARL8B	GBAS	OSTM1	COMMD8
NDUFA6	HTT
POP4	SCAI
