FZD5	METRN	C17orf75	NPHS1
ADRA1D	UTF1	SART1
EYA3	DPY19L4	NEDD4
ALCAM	ATPIF1
HSPA4L	TUBGCP5
PSPC1	HMGCR	SIL1
WIPI2	MRPS18A
ZNF34	ZC2HC1C
CCDC94	MRPL4
MPP5	THOC5
TFDP2	C9orf116
GLP1R	ZNF529
R3HDM4	GNAI2
DPT	RGS7
CTSD	HAND1	PIK3CA
RPLP0	PHB2	SNRNP35
DAZ4	PCCA
SMC2	SSSCA1	KCTD17
SP4	CIB2
MAP4K5	SERPINB7
PGPEP1	TAP2
PPM1E	AK025363
TPST2	EXOC7
CST5	XCL1	SLC2A8
SLC37A1	ATG12	EPHA7	RMDN1
RPL13A	BTBD1
ROR1	REEP5
PLAT	CYP2B7P
HIST1H2BE	MEF2C
PLAG1	ZNF322P1	ZKSCAN3	MBIP
RBL1	PCYOX1	GABRB2
RNF10	HPS1
FCGR2B	GLS2
MAPK3	TP53AIP1
MGC13053	SIM2
SULT1C2	RBMX2
RNF13	DENND3
SLC38A4	MPDU1
PGK2	FPGS	SLC15A1
ALB	PCCA
PPCS	ACO2
MIA2	CRB1
NLK	ITFG2
LRRC14	RNASEH2A	EXOSC8
RASSF4	CD33
AVPR2	TUBBP5
GTF2A1	ABHD8
SYN3	PNPLA4
ADIPOR1	OPTN	RFX3
LOC100507328	GTF2H4	TAF1A
NTF3	STAG2	LHFP
GC	BF223370
DNAJA4	AUNIP
FOXE3	ABHD8
FUZ	GMPPA
RIPPLY3	F13B	PSKH1
MCHR1	ZNF174
SYT17	SCAI	CDADC1	CNN1	SEC14L4
CRIP2	GPR75
APOL2	PPP4C	PSMD6	NUP62
SLC44A1	NUP188	POLR1E
ELAVL2	GJA1
COL5A1	CD207
CCL4	CPT1A
SRC	AKIRIN1	SMG1P3
PDE6G	MAP3K1	ACN9	GOLGA2P5
CABP1	FAM186A
SYDE1	KHK
RPL31	CCNL1
AK022219	RWDD2A	PEG10	IGKV1D-8
STYK1	CD7
MSMB	CCNB1	PSMA2
AF117899	CCDC181	FAS
TMEM183B	SLC48A1
ENDOG	MRPL19
NMD3	C10orf12	AF052172
KCNB1	ANXA9
RBPMS	CCDC53
MMP23A	FAM53B	CENPN
FANCL	SETP4
FAM192A	PCDHGB6
TTLL7	NSUN3
PSMB2	MRPL20
CCKAR	CLDN8	ISG15
MEPE	SLCO1B3
RPS3A	CCNL1
FLT4	AMFR
JAG1	MAD2L1BP	U50277
EMX2	ZFHX3
ACADSB	POLR3F	NPR2
BTD	MKS1
CBFB	AKAP11
FAM215A	PCIF1
FGF17	FEV
IFI44	PRSS22
LRMP	KDM3A	HECA
NLGN1	CKS1B
NOC4L	ZFHX3
PRPS2	TOX
ST13	NOC3L
